Timestamp,Inisial atau nama pendek,Umur,Berapa lama Anda telah menggunakan website csirt.jakarta.go.id?,Seberapa sering Anda menggunakan website ini?,Apa tujuan utama Anda menggunakan website ini?,Fitur atau informasi apa yang paling sering Anda akses di  csirt.jakarta.go.id?,"Dari pilihan di atas, seberapa mudah Anda menemukan fitur tersebut pada tampilan menu saat ini?  ",Apakah Anda pernah mengalami kendala (error/crash) saat menggunakannya?,"Jika ya, kendala apa yang paling sering mengganggu Anda? (dijelaskan lebih baik)",Seberapa besar Anda mempercayai informasi di situs ini hanya berdasarkan tampilan visualnya?  ,"Menurut Anda, elemen apa yang paling mengganggu dari tampilan Desktop saat ini? (Boleh pilih lebih dari satu)","Dari elemen yang Anda pilih, mengapa elemen tersebut mengganggu bagi Anda?","Secara keseluruhan, seberapa puas Anda dengan website  csirt.jakarta.go.id?",Apa satu fitur yang paling Anda inginkan untuk diperbaiki atau ditambahkan?
2/4/2026 14:45:37,AS,45,> 6 bulan,5,Monitoring,Membaca berita/infografis keamanan terbaru,5,Tidak,,5,"Ukuran teks/font, Susunan/penempatan fitur, Pilihan navigasi halaman, Warna dan/atau desain website, Waktu loading website, Fitur pencarian",desain website,2,Chat Bot
2/4/2026 14:46:02,Wahyu Nufal Azmi,22,1 bulan,3,Mengecek laporan masuk bug hunter,Melaporkan insiden siber,3,Ya,Database error saat mengisi form laporan insiden,3,Warna dan/atau desain website,"Seharusnya untuk sebuah website cair pemilihan warna temanya jangan cerah seperti Oranye, melainkan biru elektrik, navy, hitam, abu abu",3,"Mohon ganti warna tema nya, dan juga perbaiki database error saat submit laporan bug"
2/4/2026 14:46:50,RAH,32,> 6 bulan,4,Melihat informasi keamanan informasi,Membaca berita/infografis keamanan terbaru,4,Tidak,,4,"Ukuran teks/font, Susunan/penempatan fitur, Warna dan/atau desain website","terlalu mencolok warna,hurufnya dan terlalu kaku",2,fitur AI interaktif terkait simulasi insiden
2/4/2026 15:05:51,Mawar,30,1 bulan,3,Melaporkan Insiden Siber,Melaporkan insiden siber,5,Tidak,,5,Warna dan/atau desain website,footer kurang pas letaknya,5,live chat on web
2/4/2026 15:07:09,Arif,38,> 6 bulan,3,Update Ilmu,Membaca berita/infografis keamanan terbaru,5,Tidak,,4,Ukuran teks/font,Terlalu Besar,4,Event
2/5/2026 11:29:18,Rina,29,> 6 bulan,4,Upload informasi keamanan ,Membaca berita/infografis keamanan terbaru,5,Tidak,Belum pernah kendala,3,"Ukuran teks/font, Susunan/penempatan fitur, Pilihan navigasi halaman, Warna dan/atau desain website",Penempatan fitur,3,Penempatan fitur 
2/5/2026 11:29:25,novi,35,> 6 bulan,3,membaca konten terbaru,Membaca berita/infografis keamanan terbaru,5,Tidak,,5,tidak ada,tidak ada elemet yang mengganggu,5,tidak ada
2/5/2026 11:34:28,Galli,30,> 6 bulan,5," koordinasi, dan penanganan cepat insiden keamanan siber",Mencari tahu berita kegiatan/sosialisasi,5,Tidak,,5,Warna dan/atau desain website,"warna nya agar lebih friendly""",5,tidak ada
2/5/2026 11:38:10,Sendi,32,> 6 bulan,3,Melihat laporan bug bounty/laporan insiden pada web *.jakarta.go.id,Paduan Teknis,5,Tidak,,3,Warna dan/atau desain website,"terlaku kontras, bisa dibikin lebih smooth warnanya",4,"update pada fitur event, jika ada narsum yang telah sharing knowledge"
2/5/2026 11:40:23,xr00t,35,> 6 bulan,5,"Pengecekan rutin, apakah layanan web CSIRT tersedia ",Membaca berita/infografis keamanan terbaru,3,Tidak,,5,"Ukuran teks/font, Susunan/penempatan fitur, Pilihan navigasi halaman, Warna dan/atau desain website, Waktu loading website, Fitur pencarian",Belum joss,4,Info grafis
2/5/2026 11:40:24,sena,26,1 - 6 bulan,4,untuk melihat update berita terbaru,Membaca berita/infografis keamanan terbaru,5,Tidak,,4,Ukuran teks/font,bisa di perbesar lagi ukurannya,5,lebih banya lagi berita terupdatenya
2/5/2026 11:40:54,GG ,43,> 6 bulan,5, ,Melaporkan insiden siber,5,Tidak,,5,Waktu loading website, ,5, 
2/5/2026 11:41:29,Kuhaku,28,> 6 bulan,4,Melakukan checking report,Membaca berita/infografis keamanan terbaru,3,Tidak,,5,"Ukuran teks/font, Susunan/penempatan fitur, Pilihan navigasi halaman, Warna dan/atau desain website, Fitur pencarian",semuanya tidak ada yang terlalu urgent,5,fitur ai
2/5/2026 11:59:46,SR,37,> 6 bulan,3,Untuk memperoleh serta memperbarui informasi.,Membaca berita/infografis keamanan terbaru,3,Tidak,,5,Waktu loading website,membutuhkan waktu tunggu,4,Update informasi yang lebih rutin.
2/5/2026 12:04:59,Erick,29,> 6 bulan,1,Update konten,Melaporkan insiden siber,4,Ya,Gagal input,4,"Ukuran teks/font, Pilihan navigasi halaman, Waktu loading website",Mungkin bisa dibuat lebih bagus lagi visual nya,4,Text to speech di halaman berita
2/5/2026 13:47:38,ABA,58.1,1 - 6 bulan,1,informasi,Membaca berita/infografis keamanan terbaru,4,Tidak,-,4,"Susunan/penempatan fitur, Pop-up Poster",Frame Pop-up terlalu besar menutupi layar. Button 'Lapor Insiden' kurang tampil beda.,4,Rekaman/ link video dari pelatihan event yang diadakan
